timestamp,base,endpoint,query,hits_totais,query_version
"2026-06-01T10:40:22-04:00","pubmed","eutils.ncbi.nlm.nih.gov","("Design Thinking" OR "Human-Centered Design" OR "Service Design") AND ("Physical Activity" OR "Sport" OR "Exercise" OR "Leisure") AND ("Self-Determination Theory" OR "Intrinsic Motivation" OR "Positive Health" OR "Well-being") AND 2010:2026[dp]",21,"v2_relaxada"
"2026-06-01T10:56:26-04:00","europepmc","www.ebi.ac.uk/europepmc/webservices/rest","("Design Thinking" OR "Human-Centered Design" OR "Service Design" OR "User-Centered Design" OR "Co-design" OR "Participatory Design" OR "Co-creation") AND ("Physical Activity" OR "Sport" OR "Exercise" OR "Leisure" OR "Exergame" OR "Active Lifestyle" OR "Fitness") AND (FIRST_PDATE:[2010-01-01 TO 2026-12-31])",15109,"v4_relaxada"
